timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13
1522541347000,5,0,0,0,0,0,NaN,0,0,0,0,0,0,0
1522541646000,5,0,0,0,0,0,NaN,0,0,0,0,0,0,0
1522545241000,5,0,0,0,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN
1522545540000,5,0,0,0,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN
1522545839000,5,0,0,0,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN
1522549133000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1522549731000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1522550031000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1522950204000,5,0,0,0,0,0,NaN,0,0,0,0,0,0,0
1522951704000,5,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,0,0
1522952004000,5,0,NaN,0,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0
1522952304000,5,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0
1523364825000,5,0,0,0,0,0,NaN,0,0,NaN,0,0,0,0
1523557850000,5,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1523558449000,5,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1523558749000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1523559049000,5,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1523559348000,5,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1523559647000,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1523559947000,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523560246000,5,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1523560546000,5,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0
1523560846000,5,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1523561146000,5,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1523561446000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1523561745000,5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523568044000,5,0,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0
1523568343000,5,0,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0
1523568942000,5,0,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0
1523569242000,5,0,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1523572837000,5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523573437000,5,0,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1523573739000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523574038000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523574337000,5,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1523574637000,5,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1523574936000,5,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1523575236000,5,NaN,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1523575535000,5,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1523575835000,5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523576134000,5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523576434000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523576733000,5,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1523579129000,5,NaN,NaN,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN
1523579728000,5,NaN,NaN,0,0,0,NaN,3,0,0,NaN,NaN,NaN,NaN
1523580028000,5,NaN,NaN,0,0,0,NaN,6,3,0,NaN,0,NaN,0
1523580328000,5,NaN,0,2,0,5,NaN,6,3,0,NaN,0,NaN,0
1523580627000,5,NaN,0,11,0,8,NaN,2,3,0,NaN,0,0,0
1523580928000,5,NaN,0,11,0,1,NaN,0,1,0,NaN,0,0,0
1523581228000,5,0,0,10,0,0,NaN,0,0,0,NaN,0,NaN,0
1523581531000,5,0,0,8,0,0,NaN,0,0,0,NaN,0,NaN,0
1523582130000,5,0,0,4,0,0,NaN,0,0,0,NaN,0,0,0
1523582429000,5,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0
1523582729000,5,0,0,0,0,0,NaN,0,0,0,0,0,0,0
1523583028000,5,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0
1523583627000,5,0,0,2,0,1,NaN,0,0,0,0,0,NaN,0
1523584826000,5,0,0,6,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,0
1523585425000,5,0,0,2,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1523585725000,5,0,0,5,0,0,NaN,2,0,0,NaN,NaN,NaN,NaN
1523586024000,5,0,NaN,5,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0
1523586324000,5,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,0
1523586623000,5,0,NaN,0,0,0,NaN,0,1,0,NaN,NaN,NaN,0
1523586922000,5,NaN,NaN,0,0,0,NaN,0,3,0,NaN,0,NaN,0
1523587521000,5,0,NaN,0,NaN,0,NaN,0,0,NaN,NaN,0,NaN,0
1523587821000,5,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0
1523588120000,5,0,0,0,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,0
1523588419000,5,0,0,0,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,0
1523588719000,5,0,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0
1523589018000,5,NaN,0,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0
1523590817000,5,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0
1523591116000,5,NaN,0,0,0,0,NaN,0,0,0,NaN,0,0,0
1523591716000,5,0,0,0,0,NaN,NaN,0,0,0,NaN,0,0,0
1523592015000,5,0,0,0,0,0,NaN,5,0,0,NaN,0,0,0
1523592315000,5,0,0,0,0,0,NaN,3,0,0,0,0,0,0
1523593513000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1523594412000,5,0,0,0,0,0,NaN,0,0,0,0,0,0,0
1523595010000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1523602507000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1523618402000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523621400000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523621999000,5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523622298000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523622597000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523622897000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523623196000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523623496000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523623796000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523624095000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523624395000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523624694000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523626191000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523626490000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523627090000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523627389000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523627688000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523629186000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523629485000,5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523629785000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523630084000,5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523630384000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523630684000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523630983000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523631582000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523633379000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523634278000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523634877000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523638474000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523639073000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523640571000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523641471000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523641771000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523646565000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523646865000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523647166000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523647467000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523647766000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523753859000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523771844000,5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523772744000,5,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1523773345000,5,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523774546000,5,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1523774846000,5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523775146000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523775446000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523836917000,5,0,0,0,0,0,NaN,0,0,0,0,0,0,0
1523839313000,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1523852801000,5,0,NaN,0,0,0,0,0,0,0,0,0,0,0
1523857302000,5,0,0,0,NaN,NaN,0,0,0,NaN,0,0,0,0
1523867195000,5,NaN,0,0,0,0,NaN,0,0,0,0,NaN,NaN,0
1523867494000,5,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,0
1523867794000,5,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,0,0,0
1523887285000,5,NaN,NaN,0,0,NaN,NaN,0,0,0,NaN,0,NaN,0
1523887585000,5,NaN,NaN,0,0,NaN,NaN,0,NaN,0,NaN,NaN,NaN,0
1523888183000,5,NaN,NaN,0,0,NaN,NaN,0,0,0,NaN,NaN,0,NaN
1523890580000,5,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0
1523890880000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0
1523891179000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0
1523891479000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
1523891778000,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523892078000,5,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1523892377000,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN
1523892677000,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
