titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000
timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13
1522541347000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522541646000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522541646000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522541646000,0,0,0,0,0,0,0,0,0,0,0,0,0
1522545241000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522545540000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522545540000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522545540000,0,0,0,0,0,0,0,0,0,0,0,0,0
1522545540000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522545839000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522545839000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522545839000,0,0,0,0,0,0,0,0,0,0,0,0,0
1522549731000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522550031000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522550031000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522550031000,0,0,0,0,0,0,0,0,0,0,0,0,0
1522951704000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522952004000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522952004000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522952004000,0,0,0,0,0,0,0,0,0,0,0,0,0
1522952004000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522952304000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522952304000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1522952304000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523558449000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523558749000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523558749000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523558749000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523558749000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523559049000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523559049000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523559049000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523559049000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523559348000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523559348000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523559348000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523559348000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523559647000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523559647000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523559647000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523559647000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523559947000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523559947000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523559947000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523559947000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523560246000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523560246000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523560246000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523560246000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523560546000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523560546000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523560546000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523560546000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523560846000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523560846000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523560846000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523560846000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523561146000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523561146000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523561146000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523561146000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523561446000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523561446000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523561446000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523561446000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523561745000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523561745000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523561745000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523568044000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523568343000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523568343000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523568343000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523568942000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523569242000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523569242000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523569242000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523573437000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523573739000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523573739000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523573739000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523573739000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523574038000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523574038000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523574038000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523574038000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523574337000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523574337000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523574337000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523574337000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523574637000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523574637000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523574637000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523574637000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523574936000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523574936000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523574936000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523574936000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523575236000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523575236000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523575236000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523575236000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523575535000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523575535000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523575535000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523575535000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523575835000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523575835000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523575835000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523575835000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523576134000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523576134000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523576134000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523576134000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523576434000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523576434000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523576434000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523576434000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523576733000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523576733000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523576733000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523579728000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523580028000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523580028000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523580028000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523580028000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523580328000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523580328000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523580328000,0,0,0,0,1,0,0,0,0,0,0,0,0
1523580328000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523580627000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1523580627000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1523580627000,0,0,0,0,1,0,0,0,0,0,0,0,0
1523580627000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1523580928000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1523580928000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1523580928000,0,0,1,0,0,0,0,0,0,0,0,0,0
1523580928000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1523581228000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523581228000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1523581228000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523581228000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1523581531000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523581531000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523581531000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523582130000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523582429000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523582429000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523582429000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523582429000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523582729000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523582729000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523582729000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523582729000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523583028000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523583028000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523583028000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523585425000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523585725000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523585725000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523585725000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523585725000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523586024000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523586024000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523586024000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523586024000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523586324000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523586324000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523586324000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523586324000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523586623000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523586623000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523586623000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523586623000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523586922000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523586922000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523586922000,0,0,0,0,0,0,0,0,0,0,0,0,0
