titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000
timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13
1585989918000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1585990201000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1585990201000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1585990201000,0,0,0,0,0,0,0,0,0,0,0,0,0
1585990201000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1585990524000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1585990524000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1585990524000,0,0,0,0,0,0,0,0,0,0,0,0,0
1585990524000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1585990807000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1585990807000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1585990807000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586304685000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586304967000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586304967000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586304967000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586321525000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586321807000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586321807000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586321807000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586321807000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586322131000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586322131000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586322131000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586322131000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586322455000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586322455000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586322455000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586322455000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586322738000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586322738000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586322738000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586323868000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586324151000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586324151000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586324151000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586324151000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586324433000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586324433000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586324433000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586325969000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586326251000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586326251000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586326251000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586326251000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586326534000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586326534000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586326534000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586326534000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586326816000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586326816000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586326816000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586326816000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586327139000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586327139000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586327139000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586327704000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586327987000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586327987000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586327987000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586327987000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586328269000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586328269000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586328269000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586329723000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586330006000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586330006000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586330006000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586394229000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586394552000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586394552000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586394552000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586396934000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586397216000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586397216000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586397216000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586397216000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586397540000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586397540000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586397540000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586397540000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586397863000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586397863000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586397863000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586397863000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586398145000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586398145000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586398145000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586398145000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586398468000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586398468000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586398468000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586398468000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586398751000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586398751000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586398751000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586398751000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586399033000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586399033000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586399033000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586399033000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586399316000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586399316000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586399316000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586402185000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586402508000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586402508000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586402508000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586402508000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586402791000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586402791000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586402791000,0,0,0,0,0,0,0,0,0,0,0,0,0
